regressor,Rent,livingspace,NoOfRooms,lat,lon,distanceShop,dum_balcony,dum_builtinkitchen,dum_floorplan,dum_garden,dum_privateoffer,ost,sachsenanhalt,brandenburg,sachsen,thueringen,mecklenburg,baden,bayern,berlin,bremen,hamburg,niedersachsen,nrw,rheinland,saarland,schleswig,einwohner
schleswig,0.07748997791292254,0.06147637927374091,0.046984606233336605,0.4192113857703073,-0.08094040862899968,-0.031564817100668635,0.043319187303767756,0.2315670051017676,-0.038355870147492574,-0.014308447209297475,0.015798788049382815,-0.241459039518683,-0.07814459957909392,-0.05782204173414395,-0.12865953792909798,-0.05183927808068057,-0.059538658513677754,-0.036324145245829824,-0.04687400494329517,-0.03733948689830517,-0.021450640793315278,-0.022078529792030645,-0.04895235817047614,-0.10427969896089986,-0.042611277561914955,-0.010911100403847095,1,-0.018755195738212736
dum_floorplan,0.060833339062827604,0.04026807166012141,0.027965310907802167,-0.028597028283928946,0.1882153588643639,-0.0015314005759941118,0.12119383137976553,-0.029338932028395322,1,0.004159284114384404,-0.0826877586233162,0.17454812483467191,0.009157179711824991,0.017385950457546567,0.1908356426442956,0.019190890928261217,-0.02765359448114541,-0.029176906219672144,0.005558372162798552,-0.0012457534105543607,-0.03871849811701453,0.006986729631337021,-0.03469573865254632,-0.11966008174673247,-0.05237082973758164,-0.02270491857674412,-0.038355870147492574,0.045251548009971214
rheinland,0.05836791813798992,0.1259751717356358,0.06054857142749737,-0.2221689083801493,-0.2523603107261575,0.004480746171977511,0.036249158333680545,0.05930879617873447,-0.05237082973758164,0.05525110186490752,0.1729861811870088,-0.20666662230336863,-0.06688455515458541,-0.04949032384002056,-0.1101206738166513,-0.0443696310767042,-0.05095958915443045,-0.031090111270950203,-0.04011981615918199,-0.03195914988809734,-0.018359766061499257,-0.018897181015209867,-0.041898694441274885,-0.0892537848324943,1,-0.00933889354720771,-0.042611277561914955,-0.1393070774755286
dum_garden,0.05527161657687848,0.09908731021079228,0.05284064080642373,-0.07024617315635504,0.015409889729683846,-0.004907297710341976,-0.008688751527839123,0.09156154533733338,0.004159284114384404,1,0.16255855166404828,0.0018726354587503137,-0.08529900914496556,-0.04662977704641444,0.09547458021472678,-5.744859385831482e-4,-0.009321840722691455,0.0036241778616976045,0.020715621972281984,-0.01853994422469292,-0.03010311697566024,-0.005734059829805214,0.014591372413123098,-0.023805968856281993,0.05525110186490752,0.002805969104362165,-0.014308447209297475,-0.07078863187805821
nrw,0.03848879967826141,0.049528197150795275,0.02713486861689787,-0.05532758707533222,-0.7170031838146624,-0.0010246261798456957,0.014902087816278676,-0.10587336266230614,-0.11966008174673247,-0.023805968856281993,0.10239050838884395,-0.5057612536434067,-0.16368205028632396,-0.12111432387860235,-0.2694908806309862,-0.10858279864906659,-0.12470995755698089,-0.07608472755328176,-0.09818251389827908,-0.07821146701209812,-0.044930614321615,-0.04624579360739446,-0.10253584246194856,1,-0.0892537848324943,-0.02285444284827363,-0.10427969896089986,0.15754995919394457
niedersachsen,0.030430561020820156,0.05234932354778511,0.03339059600948955,0.17078210298970353,-0.11481266608747874,0.0041251066276539435,0.026451574913437657,0.06990440768728581,-0.03469573865254632,0.014591372413123098,0.0306477857824761,-0.23742114988636748,-0.07683779711234485,-0.056855090886898746,-0.12650798040059136,-0.050972376249521334,-0.05854300089649521,-0.03571670106074888,-0.04609013676025707,-0.036715063280439414,-0.021091924382289618,-0.021709313270993704,1,-0.10253584246194856,-0.041898694441274885,-0.010728635422268144,-0.04895235817047614,-0.03930558847657562
einwohner,-0.020822825101682603,-0.030678911475964632,-0.021259874651941416,-0.011331016886569359,-0.042501589294714426,-0.008417621358073045,0.03605473078712979,-0.0881413200414706,0.045251548009971214,-0.07078863187805821,-0.053899787027444974,0.004018092769841394,0.13729102809595173,0.07173015924575149,-0.04432028409180249,0.015433234855982188,-0.17048584356641103,-0.032937593078050116,-0.052566466633813515,-0.002053512247158863,-0.03627383879394427,-0.022913818043081312,-0.03930558847657562,0.15754995919394457,-0.1393070774755286,8.443287918871721e-4,-0.018755195738212736,1
distanceShop,0.001559529595705673,0.0072753200732492635,0.008623790545560431,-0.01640424760337014,0.007817406944152065,1,-0.0073080586391242215,-0.005450060952434295,-0.0015314005759941118,-0.004907297710341976,0.011870962571914678,0.012033329251379695,0.003008614800520913,0.00343719250275302,0.01468644514035011,-0.0034432560016294965,-0.005506589979798508,0.0013738212216803573,-5.8508140552279284e-5,-0.005581371661670338,0.004199230768813125,-0.0012920373765986917,0.0041251066276539435,-0.0010246261798456957,0.004480746171977511,0.0021711717424023015,-0.031564817100668635,-0.008417621358073045
saarland,0.0015341138340973946,0.0061837690814942154,-0.004339934975921459,-0.08235736286812269,-0.07759748115183429,0.0021711717424023015,-4.751085693663493e-4,0.002806210633830215,-0.02270491857674412,0.002805969104362165,0.026410231070642616,-0.052919330165576546,-0.01712654814674216,-0.012672558142683026,-0.02819764619370828,-0.011361346743385868,-0.013048780173156591,-0.00796097524067924,-0.01027313348351645,-0.008183502424773524,-0.004701226115482843,-0.004838837303270988,-0.010728635422268144,-0.02285444284827363,-0.00933889354720771,1,-0.010911100403847095,8.443287918871721e-4
bremen,-9.345274944513012e-4,-0.005579819589783841,-0.003879157418151339,0.1322096897821879,-0.08550392056542233,0.004199230768813125,-0.018296797162165392,0.015024519555232735,-0.03871849811701453,-0.03010311697566024,-0.017333328938941447,-0.1040365774660453,-0.033669879180623676,-0.024913572654436545,-0.055435066797201046,-0.022335801055844456,-0.02565320507788805,-0.015650852245120656,-0.020196431892331737,-0.016088328807161215,1,-0.00951289576742997,-0.021091924382289618,-0.044930614321615,-0.018359766061499257,-0.004701226115482843,-0.021450640793315278,-0.03627383879394427
